Match_ID,Player,Team,Runs,Balls,Strike_Rate,Wickets,Venue
M00001,Ravindra Jadeja,CSK,62,20,310.0,2,Wankhede
M00002,KL Rahul,LSG,45,17,264.71,3,Chinnaswamy
M00003,Jasprit Bumrah,MI,36,4,900.0,1,Chepauk
M00004,Virat Kohli,RCB,34,38,89.47,0,Chinnaswamy
M00005,Rohit Sharma,MI,8,21,38.1,0,Chinnaswamy
M00006,Shubman Gill,GT,20,36,55.56,0,Wankhede
M00007,Surya Kumar Yadav,MI,50,23,217.39,0,Eden Gardens
M00008,Jasprit Bumrah,MI,58,26,223.08,3,Chinnaswamy
M00009,Shubman Gill,GT,35,31,112.9,1,Chepauk
M00010,Shubman Gill,GT,26,18,144.44,2,Wankhede
M00011,Ravindra Jadeja,CSK,50,14,357.14,1,Eden Gardens
M00012,Rohit Sharma,MI,28,36,77.78,0,Eden Gardens
M00013,Ravindra Jadeja,CSK,55,28,196.43,1,Eden Gardens
M00014,Surya Kumar Yadav,MI,19,43,44.19,0,Chepauk
M00015,Shubman Gill,GT,59,28,210.71,1,Eden Gardens
M00016,Ruturaj Gaikwad,CSK,78,29,268.97,1,Wankhede
M00017,Jasprit Bumrah,MI,50,14,357.14,2,Wankhede
M00018,Jasprit Bumrah,MI,62,19,326.32,1,Wankhede
M00019,KL Rahul,LSG,0,10,0.0,0,Chepauk
M00020,Surya Kumar Yadav,MI,42,38,110.53,1,Chepauk
M00021,Shubman Gill,GT,0,23,0.0,3,Chepauk
M00022,Virat Kohli,RCB,71,37,191.89,0,Chepauk
M00023,Surya Kumar Yadav,MI,70,7,1000.0,1,Wankhede
M00024,Rohit Sharma,MI,32,11,290.91,1,Wankhede
M00025,Ravindra Jadeja,CSK,0,30,0.0,2,Chepauk
M00026,Shubman Gill,GT,58,31,187.1,2,Chinnaswamy
M00027,Ruturaj Gaikwad,CSK,32,1,3200.0,1,Chinnaswamy
M00028,KL Rahul,LSG,54,19,284.21,1,Eden Gardens
M00029,Rohit Sharma,MI,38,24,158.33,0,Chinnaswamy
M00030,KL Rahul,LSG,50,28,178.57,2,Chepauk
M00031,Rohit Sharma,MI,9,21,42.86,0,Chepauk
M00032,Virat Kohli,RCB,18,19,94.74,2,Eden Gardens
M00033,Ruturaj Gaikwad,CSK,45,31,145.16,1,Eden Gardens
M00034,Jasprit Bumrah,MI,8,39,20.51,2,Chepauk
M00035,Rohit Sharma,MI,0,6,0.0,0,Chinnaswamy
M00036,Jasprit Bumrah,MI,52,25,208.0,1,Eden Gardens
M00037,KL Rahul,LSG,63,16,393.75,3,Chinnaswamy
M00038,Virat Kohli,RCB,31,21,147.62,0,Chepauk
M00039,Shubman Gill,GT,31,35,88.57,0,Chinnaswamy
M00040,Virat Kohli,RCB,68,3,2266.67,0,Chepauk
M00041,Ruturaj Gaikwad,CSK,58,7,828.57,3,Eden Gardens
M00042,Shubman Gill,GT,31,11,281.82,0,Eden Gardens
M00043,Rohit Sharma,MI,5,29,17.24,0,Chinnaswamy
M00044,Ruturaj Gaikwad,CSK,48,28,171.43,0,Chepauk
M00045,Shubman Gill,GT,0,27,0.0,0,Chinnaswamy
M00046,Surya Kumar Yadav,MI,48,41,117.07,1,Chepauk
M00047,Rohit Sharma,MI,60,20,300.0,1,Wankhede
M00048,Shubman Gill,GT,36,12,300.0,0,Eden Gardens
M00049,Rohit Sharma,MI,41,13,315.38,0,Eden Gardens
M00050,KL Rahul,LSG,13,51,25.49,0,Chinnaswamy
M00051,Ravindra Jadeja,CSK,0,29,0.0,0,Eden Gardens
M00052,Jasprit Bumrah,MI,53,39,135.9,2,Chinnaswamy
M00053,Ravindra Jadeja,CSK,0,27,0.0,0,Eden Gardens
M00054,Jasprit Bumrah,MI,32,28,114.29,1,Chepauk
M00055,Jasprit Bumrah,MI,44,45,97.78,0,Chinnaswamy
M00056,Ruturaj Gaikwad,CSK,26,11,236.36,0,Wankhede
M00057,Ruturaj Gaikwad,CSK,27,33,81.82,0,Chepauk
M00058,Ravindra Jadeja,CSK,36,17,211.76,0,Wankhede
M00059,Virat Kohli,RCB,0,32,0.0,3,Eden Gardens
M00060,KL Rahul,LSG,38,27,140.74,0,Wankhede
M00061,Jasprit Bumrah,MI,62,42,147.62,1,Wankhede
M00062,Jasprit Bumrah,MI,67,44,152.27,0,Eden Gardens
M00063,Virat Kohli,RCB,51,24,212.5,1,Chinnaswamy
M00064,Jasprit Bumrah,MI,18,35,51.43,0,Chinnaswamy
M00065,Virat Kohli,RCB,52,14,371.43,2,Chepauk
M00066,Ravindra Jadeja,CSK,66,41,160.98,0,Chinnaswamy
M00067,Surya Kumar Yadav,MI,19,20,95.0,1,Eden Gardens
M00068,Shubman Gill,GT,45,28,160.71,0,Chinnaswamy
M00069,Virat Kohli,RCB,10,20,50.0,0,Chinnaswamy
M00070,Ravindra Jadeja,CSK,0,25,0.0,1,Chepauk
M00071,KL Rahul,LSG,75,26,288.46,0,Chepauk
M00072,Ruturaj Gaikwad,CSK,20,19,105.26,0,Chinnaswamy
M00073,Jasprit Bumrah,MI,6,23,26.09,0,Chepauk
M00074,Virat Kohli,RCB,52,31,167.74,0,Chepauk
M00075,Ruturaj Gaikwad,CSK,19,33,57.58,0,Wankhede
M00076,Shubman Gill,GT,0,1,0.0,2,Wankhede
M00077,Ravindra Jadeja,CSK,9,27,33.33,0,Wankhede
M00078,Surya Kumar Yadav,MI,23,23,100.0,0,Wankhede
M00079,Shubman Gill,GT,0,14,0.0,1,Wankhede
M00080,Ruturaj Gaikwad,CSK,30,10,300.0,1,Chepauk
M00081,Ravindra Jadeja,CSK,56,22,254.55,3,Eden Gardens
M00082,Virat Kohli,RCB,5,20,25.0,0,Wankhede
M00083,Shubman Gill,GT,39,19,205.26,3,Chinnaswamy
M00084,Virat Kohli,RCB,31,29,106.9,3,Wankhede
M00085,Jasprit Bumrah,MI,3,20,15.0,1,Wankhede
M00086,Jasprit Bumrah,MI,27,26,103.85,3,Chepauk
M00087,Shubman Gill,GT,47,18,261.11,0,Chinnaswamy
M00088,Rohit Sharma,MI,18,32,56.25,3,Eden Gardens
M00089,Shubman Gill,GT,86,22,390.91,1,Chepauk
M00090,KL Rahul,LSG,25,21,119.05,0,Wankhede
M00091,Ravindra Jadeja,CSK,37,13,284.62,0,Chinnaswamy
M00092,Ravindra Jadeja,CSK,78,20,390.0,0,Eden Gardens
M00093,Shubman Gill,GT,42,13,323.08,0,Wankhede
M00094,Surya Kumar Yadav,MI,67,16,418.75,0,Wankhede
M00095,Shubman Gill,GT,47,7,671.43,1,Eden Gardens
M00096,Jasprit Bumrah,MI,35,38,92.11,1,Chinnaswamy
M00097,Virat Kohli,RCB,51,40,127.5,0,Chinnaswamy
M00098,Rohit Sharma,MI,37,17,217.65,2,Chepauk
M00099,Virat Kohli,RCB,26,20,130.0,3,Chinnaswamy
M00100,Ruturaj Gaikwad,CSK,45,10,450.0,2,Chepauk
M00101,Virat Kohli,RCB,56,28,200.0,0,Chepauk
M00102,Rohit Sharma,MI,81,28,289.29,0,Wankhede
M00103,Virat Kohli,RCB,44,15,293.33,1,Chepauk
M00104,Ruturaj Gaikwad,CSK,24,14,171.43,0,Chinnaswamy
M00105,Shubman Gill,GT,19,23,82.61,2,Chepauk
M00106,Ruturaj Gaikwad,CSK,42,34,123.53,0,Chinnaswamy
M00107,Rohit Sharma,MI,13,28,46.43,3,Chepauk
M00108,KL Rahul,LSG,53,15,353.33,2,Wankhede
M00109,Jasprit Bumrah,MI,29,18,161.11,1,Wankhede
M00110,Ruturaj Gaikwad,CSK,55,23,239.13,3,Chinnaswamy
M00111,Shubman Gill,GT,27,23,117.39,2,Chepauk
M00112,Rohit Sharma,MI,25,22,113.64,0,Wankhede
M00113,Ruturaj Gaikwad,CSK,28,33,84.85,0,Chepauk
M00114,Ravindra Jadeja,CSK,16,16,100.0,0,Wankhede
M00115,Jasprit Bumrah,MI,85,15,566.67,0,Chinnaswamy
M00116,Shubman Gill,GT,59,10,590.0,1,Chepauk
M00117,Jasprit Bumrah,MI,43,23,186.96,1,Chinnaswamy
M00118,Ruturaj Gaikwad,CSK,27,25,108.0,1,Chinnaswamy
M00119,Rohit Sharma,MI,5,3,166.67,2,Chepauk
M00120,Jasprit Bumrah,MI,0,16,0.0,1,Eden Gardens
M00121,Ruturaj Gaikwad,CSK,62,30,206.67,1,Chepauk
M00122,KL Rahul,LSG,20,21,95.24,1,Wankhede
M00123,Rohit Sharma,MI,45,26,173.08,0,Eden Gardens
M00124,Jasprit Bumrah,MI,76,26,292.31,3,Eden Gardens
M00125,Jasprit Bumrah,MI,0,22,0.0,0,Wankhede
